what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188106175
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1504188106201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188119502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188228427
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504188228478
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1504188232598
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188232985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188236793
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1504188239783
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1504188245709
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504188246807
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504188253400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188259101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188268702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188279002
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504188281204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189229641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189232234
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1504189232883
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504189235289
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504189235646
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1504189238657
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/e/Learning/B00_FPGA/A01_DE2_115/DE2_YT_Project/T2_led_sopc/code/software/led/led.elf] return code: 4, 'other error'",1504189242524
error,log,,,"Downloading ELF Process failed",1504189242526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189242610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189248825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189281742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189682687
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504189682745
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504189689523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504189695638
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504189699646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189710890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189711034
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189712804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189712954
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189714206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189714396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189715101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189770814
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504189773229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504189774132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189776679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189788372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1504189789445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1504189790037
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504189795701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189800560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189804870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189816790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189819331
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1504189819857
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1504189822199
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504189822519
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop] return code: 4, 'other error'",1504189825517
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, /cygdrive/e/Learning/B00_FPGA/A01_DE2_115/DE2_YT_Project/T2_led_sopc/code/software/led/led.elf] return code: 4, 'other error'",1504189829364
error,log,,,"Downloading ELF Process failed",1504189829368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189829485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189842850
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504189843060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189847557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189885747
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1504189885774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1504189889865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189891970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504189906677
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1504189906720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504190089350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504190090840
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504190091169
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1504190091613
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1504190091615
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1504190091616
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1504190091616
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1504190091616
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1504190091616
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1504190091616
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1504190091616
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1504190091616
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1504190091616
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1504190091616
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1504190091616
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1504190091617
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1504190091617
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1504190091617
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1504190091619
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1504190091620
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1504190091620
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1504190091620
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1504190091620
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.traditional",1504190091620
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1504190091620
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1504190091620
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1504190091622
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1504190091622
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1504190091624
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1504190091624
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1504190091624
stopped,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1504190091624
stopped,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1504190091624
stopped,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1504190091625
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1504190091625
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1504190091625
stopped,bundle,com.altera.sbtgui.flash.plugin,13.0.0.156,"com.altera.sbtgui.flash.plugin",1504190091627
stopped,bundle,com.altera.sbtgui.gprof,13.0.0.156,"com.altera.sbtgui.gprof",1504190091628
stopped,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1504190091628
stopped,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1504190091628
stopped,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1504190091628
stopped,bundle,org.eclipse.compare.win32,1.0.200.I20110510-0800,"org.eclipse.compare.win32",1504190091629
